Mon Feb 26 04:47:53 UTC 2018
TimeStramp,ECG,SpO2,Respiration
04:47:54,-37020.875,178.875,-25811.5
04:47:54,-36884.625,169.8125,-25464.625
04:47:54,-36748.4375,210.875,-25117.5
04:47:54,-36612.25,224.0625,-24849.5
04:47:54,-36476.25,269.25,-24631.375
04:47:54,-36340.25,269.6875,-24492.875
04:47:54,-36204.375,302.875,-24225.625
04:47:54,-36134.0,315.1875,-24042.5
04:47:54,-35997.9375,304.375,-24005.0
04:47:54,-35862.0,369.0625,-23860.5
04:47:54,-35726.0,312.25,-23828.5
04:47:54,-35590.0,362.875,-23546.25
04:47:54,-35454.0,419.1875,-23493.375
04:47:54,-35317.75,391.5625,-23322.625
04:47:54,-35181.625,489.8125,-23139.625
04:47:54,-35045.3125,602.75,-22875.875
04:47:54,-34843.5,658.25,-22575.0
04:47:54,-34641.8125,667.5,-22250.375
04:47:54,-34440.0625,725.4375,-21972.625
04:47:54,-34238.3125,767.1875,-21616.125
04:47:54,-34036.5625,864.625,-21262.625
04:47:54,-33900.5,968.8125,-20858.25
04:47:54,-33698.75,878.25,-20593.25
04:47:54,-33497.0625,909.0,-20208.5
04:47:54,-33230.0,1019.8125,-19811.5
04:47:54,-33028.375,1048.9375,-19547.0
04:47:54,-32761.4375,1078.375,-19184.0
04:47:54,-32429.0625,1076.25,-18993.375
04:47:54,-32227.9375,1095.625,-18748.125
04:47:54,-31961.375,1076.25,-18394.75
04:47:54,-31629.625,1160.1875,-18080.0
04:47:54,-31232.5,1191.4375,-17825.375
04:47:54,-30966.75,1229.6875,-17501.625
04:47:54,-30701.125,1274.5,-17216.75
04:47:54,-30370.3125,1216.5,-17020.0
04:47:54,-29974.375,1313.9375,-16730.5
04:47:54,-29709.6875,1290.625,-16353.875
04:47:54,-29248.9375,1446.5625,-16027.875
04:47:54,-28854.125,1501.875,-15792.25
04:47:54,-28590.75,1599.5625,-15404.75
04:47:54,-28196.75,1692.4375,-15094.75
04:47:54,-27737.75,1741.5,-14752.25
04:47:54,-27410.1875,1827.875,-14517.0
04:47:54,-27017.5625,1913.5625,-14136.125
04:47:55,-26560.0625,1933.4375,-13824.25
04:47:55,-26234.125,1994.5625,-13433.375
04:47:55,-25843.1875,2039.9375,-13220.0
04:47:55,-25387.375,2004.6875,-12882.75
04:47:55,-24997.6875,2062.6875,-12653.5
04:47:55,-24608.625,2110.8125,-12297.75
04:47:55,-24220.0625,1998.4375,-12176.25
04:47:55,-23766.625,2088.25,-11878.0
04:47:55,-23379.375,2195.375,-11614.25
04:47:55,-22992.75,2264.8125,-11260.875
04:47:55,-22606.6875,2316.375,-10982.0
04:47:55,-22221.25,2323.3125,-10662.0
04:47:55,-21836.5,2354.1875,-10335.5
