ECG,SpO2,Respiration
-17382.9375,-5526.0625,-32610.0
-17378.0625,-5482.875,-32308.75
-17373.3125,-5392.5625,-31995.875
-17433.9375,-5343.9375,-31683.75
-17494.5625,-5220.1875,-31461.75
-17489.5625,-5110.125,-31148.125
-17550.0625,-5073.6875,-30761.375
-17610.5,-5008.1875,-30425.875
-17671.0,-4893.9375,-30029.25
-17796.875,-4881.8125,-29666.0
-17857.1875,-4735.0,-29268.375
-17982.9375,-4753.375,-28881.75
-18108.75,-4660.875,-28474.375
-18168.875,-4673.6875,-28238.625
-18294.5,-4593.8125,-27913.5
-18420.0625,-4619.1875,-27781.25
-18545.4375,-4591.6875,-27723.0
-18670.9375,-4584.625,-27648.375
-18796.3125,-4631.0,-27607.25
-18987.0625,-4756.8125,-27670.625
-19112.25,-4793.375,-27918.0
-19237.3125,-4820.375,-27959.875
-19427.9375,-4855.0625,-28146.0
-19552.875,-4931.375,-28226.75
-19743.3125,-5006.25,-28250.125
-19999.0625,-4942.75,-28195.125
-20123.625,-4956.125,-28106.75
-20313.75,-4799.125,-27808.625
-20372.6875,-4792.875,-27616.5
-20562.625,-4693.625,-27342.625
-20686.9375,-4583.375,-26934.375
-20876.625,-4471.875,-26494.125
-21000.75,-4435.0625,-26114.75
-21190.3125,-4251.1875,-25592.0
-21379.6875,-4254.1875,-25271.625
-21503.4375,-4101.75,-24880.375
-21627.0,-4094.25,-24397.875
-21816.0,-4063.4375,-24149.625
-21939.3125,-4003.5,-23732.125
-22062.5625,-4006.1875,-23441.25
-22120.0625,-4007.625,-23075.625
-22243.0625,-3881.0625,-22664.125
-22431.3125,-3813.5,-22430.125
-22553.875,-3865.8125,-22120.125
-22610.75,-3760.5625,-21840.75
-22667.4375,-3687.375,-21505.5
-22855.0,-3671.5625,-21236.5
-22845.875,-3658.1875,-21005.875
-22967.6875,-3647.125,-20841.0
-23089.1875,-3657.5,-20575.75
-23079.625,-3723.25,-20382.625
-23135.375,-3718.5,-20145.75
-23256.3125,-3669.125,-19970.0
-23246.125,-3654.875,-19687.125
-23301.25,-3623.9375,-19480.375
-23356.1875,-3614.6875,-19116.875
-23345.3125,-3514.5625,-18708.125
-23399.875,-3458.25,-18509.25
-23388.6875,-3454.75,-18142.5
-23377.3125,-3421.0,-17963.75
-23365.75,-3293.25,-17697.875
-23354.125,-3207.5,-17423.625
-23342.1875,-3167.625,-17025.625
-23264.6875,-2998.75,-16798.625
-23252.5,-2912.75,-16529.625
-23240.125,-2905.5,-16237.0
-23162.0625,-2807.25,-16032.125
-23149.5,-2863.75,-15883.375
-23071.25,-2797.25,-15714.0
-22992.9375,-2768.5625,-15420.5
-22979.875,-2760.0625,-15183.375
-22901.25,-2780.3125,-14932.125
-22822.5625,-2693.5625,-14665.5
-22743.8125,-2744.625,-14495.125
-22664.9375,-2741.625,-14343.125
-22585.9375,-2751.625,-14301.75
-22506.9375,-2829.4375,-14266.5
-22362.375,-2931.0625,-14484.75
-22283.25,-3083.5,-14924.625
-22204.125,-3365.4375,-15980.75
-22124.875,-3900.75,-17965.625
-22111.0625,-4712.1875,-21382.5
-22031.6875,-5563.6875,-25034.125
-21952.3125,-6172.5625,-28120.125
-21872.875,-6652.8125,-30428.625
-21858.875,-6914.8125,-32029.375
-21779.375,-7040.6875,-32975.875
-21699.8125,-7123.125,-33516.0
-21685.8125,-7209.5,-33721.875
-21606.1875,-7138.6875,-33724.25
-21592.125,-7074.8125,-33547.25
-21512.5625,-6998.875,-33264.875
-21498.5,-6996.6875,-32955.625
-21484.375,-6879.5625,-32702.5
-21470.3125,-6829.25,-32329.625
-21456.3125,-6716.0625,-32131.625
-21507.5,-6758.5,-31871.0
-21493.25,-6699.9375,-31638.875
-21479.0,-6713.0625,-31453.5
-21530.25,-6595.25,-31080.75
-21581.375,-6569.1875,-30719.375
-21567.125,-6473.125,-30383.5
-21618.3125,-6364.1875,-30059.75
-21669.4375,-6328.125,-29676.75
-21720.5,-6239.0625,-29282.5
-21771.5625,-6217.8125,-28939.375
-21888.0625,-6143.625,-28683.375
-21938.9375,-6106.4375,-28413.0
-22055.3125,-6140.25,-28284.875
-22106.0625,-6111.9375,-28325.375
-22222.3125,-6112.5,-28305.0
-22272.875,-6150.9375,-28279.25
-22389.0625,-6043.375,-28363.75
-22505.0625,-6093.625,-28407.625
-22555.6875,-6090.8125,-28473.75
-22671.625,-6082.875,-28497.5
-22787.5625,-6045.875,-28494.375
-22968.875,-6019.6875,-28365.75
-23019.1875,-6008.4375,-28309.625
-23134.875,-5931.125,-28074.0
-23250.625,-5936.625,-27825.0
-23300.8125,-5914.9375,-27520.375
-23350.9375,-5844.0625,-27278.25
-23466.625,-5799.1875,-26923.625
-23582.25,-5711.375,-26556.75
-23632.3125,-5595.5,-26206.25
-23748.0,-5600.625,-25730.0
-23798.125,-5451.625,-25410.25
-23913.6875,-5441.6875,-24898.0
-24029.3125,-5332.6875,-24488.375
-24144.8125,-5271.4375,-24195.375
-24194.875,-5196.3125,-23816.25
-24179.5,-5073.1875,-23515.125
-24229.625,-4975.25,-23099.5
-24279.875,-4961.125,-22700.875
-24330.0625,-4740.375,-22319.0
-24249.375,-4570.9375,-21959.375
-24299.75,-4513.6875,-21613.375
-24350.25,-4394.875,-21256.375
-24269.8125,-4351.6875,-20925.75
-24320.5,-4305.875,-20663.25
-24371.1875,-4247.0625,-20311.875
-24225.5625,-4266.8125,-19995.875
-24211.1875,-4231.1875,-19703.125
-24262.4375,-4218.9375,-19434.125
-24182.75,-4149.9375,-19223.875
-24103.3125,-4217.0625,-18960.625
-24155.0,-4137.1875,-18668.25
-24075.875,-4121.375,-18428.625
-23997.0625,-4019.625,-18151.5
-23918.4375,-4024.75,-17934.875
-23840.125,-4072.875,-17702.0
-23762.0625,-4001.0,-17456.0
-23684.3125,-3908.3125,-17197.75
-23541.375,-3919.4375,-17032.75
-23464.3125,-3878.6875,-16770.25
-23387.5,-3769.8125,-16472.0
-23245.6875,-3689.0625,-16228.75
-23169.6875,-3669.25,-15974.625
-23028.5,-3512.5,-15623.0
-22953.25,-3450.75,-15324.625
-22812.9375,-3381.0,-15155.25
-22738.5,-3225.25,-14900.75
-22599.0625,-3348.3125,-14552.875
-22459.9375,-3205.4375,-14237.0
-22386.8125,-3128.5625,-13998.875
-22248.6875,-3119.4375,-13844.5
-22176.4375,-3118.4375,-13547.75
-22039.125,-3097.0625,-13407.5
-21967.75,-3212.5625,-13464.625
-21831.3125,-3245.9375,-13692.125
-21760.9375,-3408.8125,-14237.375
-21690.875,-3719.375,-15439.5
-21621.25,-4194.25,-17629.25
-21552.1875,-4954.3125,-20733.125
-21483.5,-5672.4375,-23861.375
-21415.3125,-6359.875,-26539.0
-21413.0,-6938.75,-28722.625
-21345.5625,-7229.125,-30118.375
-21344.0625,-7700.125,-31615.75
-21342.875,-8075.5625,-32620.375
-21276.625,-8319.8125,-33348.75
-21276.1875,-8710.625,-34078.25
-21276.25,-8965.25,-34519.25
-21276.5625,-9161.5625,-34887.75
-21342.8125,-9309.625,-35238.125
-21343.875,-9436.4375,-35442.625
-21345.3125,-9583.125,-35589.25
-21412.5625,-9520.6875,-35343.5
-21479.9375,-9408.125,-35227.625
-21482.25,-9408.5625,-35043.75
-21550.375,-9446.75,-34898.5
-21684.125,-9373.8125,-34602.625
-21752.6875,-9392.6875,-34558.375
-21821.4375,-9326.625,-34366.25
-21890.4375,-9273.4375,-33976.875
-21959.625,-9189.0625,-33518.875
-22094.5,-9072.75,-33069.0
-22164.0625,-8841.5625,-32519.875
-22233.8125,-8603.4375,-31919.0
-22303.6875,-8434.375,-31300.75
-22439.375,-8192.4375,-30775.125
-22509.625,-8019.75,-30339.375
-22580.0,-7823.1875,-29982.5
-22650.5625,-7727.625,-29695.375
-22721.25,-7543.0625,-29468.5
-22857.5625,-7277.75,-29256.125
-22863.125,-7210.25,-29015.625
-22934.1875,-7149.9375,-28784.375
-23071.0,-7020.8125,-28477.375
-23076.8125,-6931.5,-28178.5
-23082.75,-6880.3125,-27965.75
-23154.375,-6747.125,-27695.5
-23160.625,-6583.0625,-27186.75
-23101.5,-6428.0,-26800.0
-23042.5,-6230.0625,-26314.0
-23049.3125,-6027.125,-25769.75
-22990.8125,-5873.1875,-25329.25
-22932.5625,-5577.5625,-24618.75
-23005.375,-5566.75,-24136.75
-22881.875,-5198.3125,-23455.375
-22758.5,-4998.75,-22842.875
-22766.4375,-4803.5,-22323.875
-22643.4375,-4617.1875,-21752.75
-22520.8125,-4480.9375,-21341.375
-22332.75,-4326.75,-20836.75
-22276.0,-4167.5625,-20332.625
-22088.5,-4126.4375,-19993.375
-21901.3125,-3999.5,-19659.375
-21648.875,-3983.5,-19483.5
-21527.8125,-3965.5625,-19163.0
